vllm (pretrained=bigscience/bloom-3b,tensor_parallel_size=1,dtype=auto,gpu_memory_utilization=0.9), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto
|       Tasks       |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|mmlu_prox_en       |      0|custom-extract|      |exact_match|↑  |0.0818|±  |0.0025|
| - biology         |      0|custom-extract|     5|exact_match|↑  |0.0669|±  |0.0093|
| - business        |      0|custom-extract|     5|exact_match|↑  |0.1128|±  |0.0113|
| - chemistry       |      0|custom-extract|     5|exact_match|↑  |0.0327|±  |0.0053|
| - computer_science|      0|custom-extract|     5|exact_match|↑  |0.0780|±  |0.0133|
| - economics       |      0|custom-extract|     5|exact_match|↑  |0.1043|±  |0.0105|
| - engineering     |      0|custom-extract|     5|exact_match|↑  |0.0722|±  |0.0083|
| - health          |      0|custom-extract|     5|exact_match|↑  |0.1223|±  |0.0125|
| - history         |      0|custom-extract|     5|exact_match|↑  |0.0262|±  |0.0082|
| - law             |      0|custom-extract|     5|exact_match|↑  |0.0897|±  |0.0092|
| - math            |      0|custom-extract|     5|exact_match|↑  |0.0489|±  |0.0059|
| - other           |      0|custom-extract|     5|exact_match|↑  |0.0974|±  |0.0098|
| - philosophy      |      0|custom-extract|     5|exact_match|↑  |0.1082|±  |0.0139|
| - physics         |      0|custom-extract|     5|exact_match|↑  |0.0916|±  |0.0080|
| - psychology      |      0|custom-extract|     5|exact_match|↑  |0.1115|±  |0.0112|

|   Groups   |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|------------|------:|--------------|------|-----------|---|-----:|---|-----:|
|mmlu_prox_en|      0|custom-extract|      |exact_match|↑  |0.0818|±  |0.0025|
